Latitude,Longitude,Location,Municipality,Month,Region,Year,Crash Count
48.449762,-123.385249,BURNSIDE RD W & DAVIN ST,SAANICH,AUGUST,Vancouver Island,2017,1
48.451031,-123.42475,ADMIRALS RD & CRAIGFLOWER RD & ISLAND HWY,VIEW ROYAL,DECEMBER,Vancouver Island,2017,1
48.454808,-123.377139,CAREY RD & DOUGLAS ST & TRANS-CANADA HWY & TURNING LANE,SAANICH,MAY,Vancouver Island,2018,1
48.45509,-123.314278,AVONDALE RD & HENDERSON RD,OAK BAY,JUNE,Vancouver Island,2020,1
48.458767,-123.315485,CEDAR HILL CROSS RD & HENDERSON RD & UNIVERSITY DR,OAK BAY,SEPTEMBER,Vancouver Island,2018,1
48.460933,-123.331968,CEDAR HILL CROSS RD & STAMBOUL ST,SAANICH,JANUARY,Vancouver Island,2017,1
48.46572,-123.387648,GLANFORD AVE & JOLLY PL,SAANICH,FEBRUARY,Vancouver Island,2020,1
48.47043,-123.361205,BORDEN ST & LOCHSIDE TRAIL & MCKENZIE AVE,SAANICH,MARCH,Vancouver Island,2017,1
48.471918,-123.351156,BLENKINSOP RD & MCKENZIE AVE,SAANICH,JUNE,Vancouver Island,2017,1
48.531336,-123.417287,ELKWOOD RD & OLDFIELD RD,SAANICH,JULY,Vancouver Island,2020,1
48.630571,-123.411915,MCTAVISH RD & PATRICIA BAY HWY,NORTH SAANICH,JUNE,Vancouver Island,2018,1
48.677143,-123.485337,COAL POINT LANE & MADRONA DR & WAIN RD,NORTH SAANICH,JUNE,Vancouver Island,2018,1
48.686442,-123.5786,HUTCHINSON RD & TRANS-CANADA HWY & TURNING LANE,COBBLE HILL,OCTOBER,Vancouver Island,2017,1
48.979846,-125.587103,PORT ALBION RD & TOFINO-UCLUELET HWY,UCLUELET,APRIL,Vancouver Island,2018,1
49.020962,-122.798457,CENTRE ST & COLUMBIA AVE,WHITE ROCK,JUNE,Lower Mainland,2017,1
49.028599,-119.452319,HARBOUR KEY DR & MAIN ST,OSOYOOS,AUGUST,Southern Interior,2020,1
49.032012,-123.067952,16 AVE & 56 ST,DELTA,SEPTEMBER,Lower Mainland,2017,1
49.03797,-122.29331,HOLLAND AVE & MCCALLUM RD,ABBOTSFORD,AUGUST,Lower Mainland,2017,1
49.038458,-122.346921,MARSHALL RD & PARAMOUNT CRES,ABBOTSFORD,NOVEMBER,Lower Mainland,2018,1
49.045604,-122.795707,154 ST & 24 AVE,SURREY,APRIL,Lower Mainland,2021,1
49.05506,-122.326764,GEORGE FERGUSON WAY & TRETHEWEY ST,ABBOTSFORD,OCTOBER,Lower Mainland,2021,1
49.057856,-122.467263,273 ST & FRASER HWY,LANGLEY,APRIL,Lower Mainland,2019,1
49.086232,-122.592623,228 ST & FRASER HWY,LANGLEY,SEPTEMBER,Lower Mainland,2017,1
49.090195,-123.062988,HARVEST DR & LADNER TRUNK RD,DELTA,AUGUST,Lower Mainland,2019,1
49.10438,-122.676678,56 AVE & PRODUCTION WAY,LANGLEY,JULY,Lower Mainland,2018,1
49.139815,-122.292765,7TH AVE & STAVE LAKE ST,MISSION,SEPTEMBER,Lower Mainland,2018,1
49.142839,-123.181361,DESMOND AVE & NO 1 RD & PETERSON GATE,RICHMOND,JUNE,Lower Mainland,2019,1
49.161746,-122.790201,156 ST & FRASER HWY & TURNING LANE,SURREY,OCTOBER,Lower Mainland,2017,2
49.163208,-122.890341,120 ST & 88 AVE,SURREY,AUGUST,Lower Mainland,2019,1
49.170098,-122.790092,156 ST & 92 AVE,SURREY,OCTOBER,Lower Mainland,2020,1
49.176991,-122.657344,204 ST & 96 AVE,LANGLEY,NOVEMBER,Lower Mainland,2018,1
49.180447,-122.801092,152 ST & 98 AVE,SURREY,SEPTEMBER,Lower Mainland,2020,1
49.181251,-123.151581,GILBERT RD & RUSS BAKER WAY & TURNING LANE,RICHMOND,AUGUST,Lower Mainland,2021,1
49.181624,-121.952579,BERKELEY AVE & CLARKE DR & YOUNG RD,CHILLIWACK,OCTOBER,Lower Mainland,2019,1
49.181748,-123.124567,GARDEN CITY RD & ODLIN RD,RICHMOND,JUNE,Lower Mainland,2021,1
49.182979,-121.952461,HOPE RIVER RD & YOUNG RD,CHILLIWACK,OCTOBER,Lower Mainland,2019,1
49.183778,-122.957234,BOUNDARY RD & BOYD ST & WESTMINSTER HWY,NEW WESTMINSTER,MAY,Lower Mainland,2018,1
49.184271,-122.834211,100 AVE & 140 ST,SURREY,DECEMBER,Lower Mainland,2018,1
49.192003,-123.11087,BRIDGEPORT RD & MCLEOD AVE,RICHMOND,JUNE,Lower Mainland,2018,1
49.192501,-123.156976,AURORA CONN & GRANT MCCONACHIE WAY & MILLER RD & ACCESS ROAD & TURNING LANE,RICHMOND,OCTOBER,Lower Mainland,2021,1
49.216944,-123.116868,CAMBIE ST & W 59TH AVE,VANCOUVER,MAY,Lower Mainland,2019,1
49.218394,-122.954927,HALL AVE & KINGSWAY,BURNABY,OCTOBER,Lower Mainland,2019,1
49.218467,-123.101887,E 57TH AVE & MAIN ST,VANCOUVER,AUGUST,Lower Mainland,2020,1
49.221953,-123.008862,IMPERIAL ST & MCKAY AVE,BURNABY,APRIL,Lower Mainland,2019,1
49.225113,-123.062365,E 49TH AVE & GLADSTONE ST,VANCOUVER,JANUARY,Lower Mainland,2019,1
49.23306,-123.101517,E 41ST AVE & MAIN ST,VANCOUVER,JULY,Lower Mainland,2019,1
49.234777,-123.19622,CAMOSUN ST & SW MARINE DR & W 41ST AVE & TURNING LANE,UBC,MAY,Lower Mainland,2021,1
49.234783,-123.186817,ALMA ST & W 41ST AVE,VANCOUVER,APRIL,Lower Mainland,2017,1
49.235921,-122.949116,6TH ST & BURNFIELD CRES,BURNABY,JUNE,Lower Mainland,2021,1
49.238236,-123.065418,E 35TH AVE & VICTORIA DR,VANCOUVER,JULY,Lower Mainland,2017,1
49.240503,-123.101467,E 33RD AVE & MAIN ST,VANCOUVER,NOVEMBER,Lower Mainland,2018,1
49.245197,-124.807575,3RD AVE & REDFORD ST & STAMP AVE & TURNING LANE,PORT ALBERNI,JANUARY,Vancouver Island,2018,1
49.250621,-122.912639,GAGLARDI WAY & GOVERNMENT ST,BURNABY,JULY,Lower Mainland,2019,1
49.252306,-123.03381,ANZIO DR & E 20TH AVE & RUPERT ST,VANCOUVER,JUNE,Lower Mainland,2021,1
49.256565,-123.089884,E 16TH AVE & FRASER ST & KINGSWAY & TURNING LANE,VANCOUVER,FEBRUARY,Lower Mainland,2020,1
49.257012,-122.778546,HAWTHORNE AVE & MARY HILL RD,PORT COQUITLAM,JULY,Lower Mainland,2017,1
49.257817,-123.178092,BLENHEIM ST & W 16TH AVE & TURNING LANE,VANCOUVER,JULY,Lower Mainland,2018,1
49.258138,-123.028533,GRANDVIEW HWY & SKEENA ST,VANCOUVER,DECEMBER,Lower Mainland,2021,1
49.258194,-123.044284,GRANDVIEW HWY & RENFREW ST,VANCOUVER,DECEMBER,Lower Mainland,2019,1
49.261382,-123.065928,E 10TH AVE & VICTORIA DR,VANCOUVER,JULY,Lower Mainland,2018,3
49.262072,-123.104917,E 10TH AVE & ONTARIO ST & W 10TH AVE,VANCOUVER,NOVEMBER,Lower Mainland,2018,1
49.262208,-123.112913,W 10TH AVE & YUKON ST,VANCOUVER,NOVEMBER,Lower Mainland,2017,1
49.262392,-123.077552,CLARK DR & E BROADWAY,VANCOUVER,JUNE,Lower Mainland,2018,1
49.262665,-123.155343,YEW ST,VANCOUVER,OCTOBER,Lower Mainland,2019,1
49.262764,-124.799416,IAN AVE & JOHNSTON RD & SOUTHGATE RD,PORT ALBERNI,JUNE,Vancouver Island,2021,1
49.263719,-122.767413,LOUGHEED HWY & OXFORD CONN & OXFORD ST & TURNING LANE,PORT COQUITLAM,OCTOBER,Lower Mainland,2019,1
49.264811,-123.112854,W 7TH AVE & YUKON ST,VANCOUVER,JUNE,Lower Mainland,2018,3
49.269057,-123.155106,W 3RD AVE & YEW ST,VANCOUVER,MAY,Lower Mainland,2018,1
49.269825,-123.147908,CYPRESS ST & W 2ND AVE,VANCOUVER,JUNE,Lower Mainland,2020,1
49.270157,-123.102714,E 1ST AVE & QUEBEC ST,VANCOUVER,AUGUST,Lower Mainland,2021,1
49.270744,-123.150322,MAPLE ST & W 1ST AVE,VANCOUVER,OCTOBER,Lower Mainland,2018,1
49.272406,-123.145229,BURRARD ST & CORNWALL AVE,VANCOUVER,SEPTEMBER,Lower Mainland,2018,1
49.272622,-123.157361,CORNWALL AVE & VINE ST,VANCOUVER,MAY,Lower Mainland,2019,1
49.274533,-123.152523,ARBUTUS ST & CREELMAN AVE,VANCOUVER,MARCH,Lower Mainland,2019,1
49.276281,-123.131378,HORNBY ST & PACIFIC ST,VANCOUVER,MAY,Lower Mainland,2017,1
49.276628,-123.118973,MAINLAND ST & NELSON ST,VANCOUVER,JANUARY,Lower Mainland,2018,1
49.277537,-123.021037,ESMOND AVE & UNION ST,BURNABY,JUNE,Lower Mainland,2018,1
49.277605,-123.072745,ADANAC ST & WOODLAND DR,VANCOUVER,SEPTEMBER,Lower Mainland,2019,1
49.277669,-123.131347,BURRARD ST & HARWOOD ST,VANCOUVER,JUNE,Lower Mainland,2017,1
49.277669,-123.131347,BURRARD ST & HARWOOD ST,VANCOUVER,OCTOBER,Lower Mainland,2018,1
49.278046,-123.106155,CARRALL ST & EXPO BLVD,VANCOUVER,MARCH,Lower Mainland,2017,1
49.278277,-123.000299,ALPHA AVE & GEORGIA ST,BURNABY,SEPTEMBER,Lower Mainland,2017,1
49.278641,-122.788197,LINCOLN AVE & PIPELINE RD,COQUITLAM,OCTOBER,Lower Mainland,2019,1
49.279157,-122.997498,BETA AVE & FRANCES ST,BURNABY,SEPTEMBER,Lower Mainland,2019,1
49.279199,-123.003176,FRANCES ST & WILLINGDON AVE,BURNABY,JUNE,Lower Mainland,2021,1
49.279473,-123.116882,HOMER ST & ROBSON ST,VANCOUVER,MARCH,Lower Mainland,2018,1
49.279937,-123.114255,HAMILTON ST & W GEORGIA ST,VANCOUVER,APRIL,Lower Mainland,2021,1
49.281015,-123.003121,HASTINGS ST & WILLINGDON AVE,BURNABY,MAY,Lower Mainland,2018,1
49.281065,-123.107583,ABBOTT ST & W PENDER ST,VANCOUVER,APRIL,Lower Mainland,2021,1
49.282225,-123.124422,BURRARD ST & SMITHE ST,VANCOUVER,SEPTEMBER,Lower Mainland,2019,1
49.282288,-123.09963,E CORDOVA ST & MAIN ST,VANCOUVER,AUGUST,Lower Mainland,2018,1
49.28311,-123.095329,DUNLEVY AVE & POWELL ST,VANCOUVER,JULY,Lower Mainland,2018,1
49.283744,-123.008607,MADISON AVE & TRIUMPH ST,BURNABY,MAY,Lower Mainland,2017,1
49.284806,-123.063552,DUNDAS ST & POWELL ST & SEMLIN DR & WALL ST,VANCOUVER,AUGUST,Lower Mainland,2018,1
49.284806,-123.063552,DUNDAS ST & POWELL ST & SEMLIN DR & WALL ST,VANCOUVER,MAY,Lower Mainland,2021,1
49.285755,-122.750404,APEL DR & SOBALL ST & VICTORIA DR,PORT COQUITLAM,AUGUST,Lower Mainland,2018,1
49.289416,-123.132281,CARDERO ST & ROBSON ST,VANCOUVER,JUNE,Lower Mainland,2019,1
49.292623,-123.133718,DENMAN ST & W GEORGIA ST,VANCOUVER,NOVEMBER,Lower Mainland,2019,1
49.297255,-123.136696,STANLEY PARK CAUSEWAY & STANLEY PARK DR,VANCOUVER,JULY,Lower Mainland,2021,1
49.299005,-123.026437,IRONWORKERS MEMORIAL BRIDGE,NORTH VANCOUVER,JULY,Lower Mainland,2017,1
49.306469,-123.036923,LYNN AVE & MAIN ST,NORTH VANCOUVER,AUGUST,Lower Mainland,2018,1
49.317265,-123.085826,FORBES AVE & W 3RD ST,NORTH VANCOUVER,JANUARY,Lower Mainland,2018,1
49.339814,-124.353359,ISLAND HWY W & WRIGHT RD,PARKSVILLE,APRIL,Vancouver Island,2018,1
49.352883,-123.260602,GALLAGHER PL & MARINE DR & WESTPORT RD,WEST VANCOUVER,JUNE,Lower Mainland,2021,1
49.501405,-119.605914,LAKESHORE DR W & POWER ST,PENTICTON,JUNE,Southern Interior,2021,1
49.602084,-119.672064,PURVES RD & RICHARDS AVE,SUMMERLAND,MAY,Southern Interior,2020,1
49.850882,-119.476557,CASORSO RD & GORDON DR,KELOWNA,SEPTEMBER,Southern Interior,2017,1
49.855184,-119.490314,LAKESHORE RD & RICHTER ST & TURNING LANE,KELOWNA,JULY,Southern Interior,2020,1
49.876797,-119.477082,GORDON DR & SPRINGFIELD RD,KELOWNA,MAY,Southern Interior,2017,1
49.882168,-119.398207,HOLLYDELL RD & HOLLYWOOD RD S,KELOWNA,MAY,Southern Interior,2017,1
49.882914,-119.427697,BARON RD & LECKIE RD,KELOWNA,SEPTEMBER,Southern Interior,2019,1
49.891738,-119.493542,CAWSTON AVE & ELLIS ST,KELOWNA,AUGUST,Southern Interior,2018,1
49.897852,-119.386847,RUTLAND RD N,KELOWNA,MAY,Southern Interior,2019,1
49.898449,-119.454297,GLENMORE DR & TRONSON DR,KELOWNA,JUNE,Southern Interior,2019,1
49.9085,-119.446535,VALLEY RD & YATES RD,KELOWNA,NOVEMBER,Southern Interior,2019,1
49.969205,-125.225383,CAMBRIDGE DR & GALERNO RD,CAMPBELL RIVER,JULY,Vancouver Island,2020,1
49.994917,-125.234476,ROBRON RD & S ALDER ST,CAMPBELL RIVER,AUGUST,Vancouver Island,2021,1
50.673126,-120.324289,7TH AVE & BATTLE ST,KAMLOOPS,MAY,Southern Interior,2018,1
53.930822,-122.777746,HART HWY & HART HWY ONRAMP & HWY 97 S & N NECHAKO RD OFFRAMP & N NECHAKO RD ONRAMP & NECHAKO RD OVERPASS & NORTH NECHAKO RD & INDUSTRIAL ACCESS ROAD,PRINCE GEORGE,DECEMBER,North Central,2017,1
48.408642,-123.357812,COOK ST,VICTORIA,APRIL,Vancouver Island,2018,1
48.426444,-123.322724,FOUL BAY RD & OAK BAY AVE,OAK BAY,OCTOBER,Vancouver Island,2017,1
48.429075,-123.353035,COOK ST & GRANT ST,VICTORIA,MARCH,Vancouver Island,2017,1
48.431051,-123.367137,CHATHAM ST & GOVERNMENT ST,VICTORIA,SEPTEMBER,Vancouver Island,2018,1
48.433941,-123.333771,BAY ST & SHELBOURNE ST,VICTORIA,MAY,Vancouver Island,2018,1
48.4353,-123.358006,BAY ST & QUADRA ST,VICTORIA,APRIL,Vancouver Island,2018,1
48.435808,-123.367314,BAY ST & GOVERNMENT ST,VICTORIA,DECEMBER,Vancouver Island,2017,1
48.436972,-123.49903,KELLY RD & PICKFORD RD,COLWOOD,OCTOBER,Vancouver Island,2017,1
48.439773,-123.356518,GRAHAM ST & HILLSIDE AVE,VICTORIA,NOVEMBER,Vancouver Island,2021,1
48.441891,-123.369108,BURNSIDE RD E & DOUGLAS ST & DUNEDIN ST & TURNING LANE,VICTORIA,SEPTEMBER,Vancouver Island,2019,1
48.448255,-123.372715,DOUGLAS ST & DUPPLIN RD,SAANICH,SEPTEMBER,Vancouver Island,2019,1
48.456647,-123.300497,BEACH DR & CADBORO BAY RD & HIBBENS CLOSE,SAANICH,MAY,Vancouver Island,2017,1
48.458097,-123.390399,GALLOPING GOOSE TRAIL & TILLICUM RD & TRANS-CANADA HWY & TURNING LANE,SAANICH,JUNE,Vancouver Island,2020,1
48.479748,-123.377231,LILY AVE & QUADRA ST,SAANICH,NOVEMBER,Vancouver Island,2017,1
48.494953,-123.3887,VIEWMONT AVE & WEST SAANICH RD,SAANICH,APRIL,Vancouver Island,2018,1
49.038185,-122.268965,MARSHALL RD & SUMAS WAY & TURNING LANE,ABBOTSFORD,FEBRUARY,Lower Mainland,2020,1
49.045751,-122.33697,CLEARBROOK RD & PEARDONVILLE RD & TURNING LANE,ABBOTSFORD,FEBRUARY,Lower Mainland,2019,1
49.047917,-122.329987,HILLCREST AVE & LYNDEN ST,ABBOTSFORD,JANUARY,Lower Mainland,2018,1
49.048598,-122.340236,COUNTESS ST & SOUTH FRASER WAY,ABBOTSFORD,OCTOBER,Lower Mainland,2017,1
49.05536,-122.315258,GEORGE FERGUSON WAY & GLADWIN RD & TURNING LANE,ABBOTSFORD,MAY,Lower Mainland,2020,1
49.057383,-122.448771,FRASER HWY & LEFEUVRE RD,ABBOTSFORD,OCTOBER,Lower Mainland,2017,1
49.059526,-122.49269,264 ST & FRASER HWY & TURNING LANE,LANGLEY,OCTOBER,Lower Mainland,2020,1
49.104342,-122.668826,200 ST & 56 AVE,LANGLEY,JANUARY,Lower Mainland,2021,2
49.10609,-122.653406,GLOVER RD & LOGAN AVE,LANGLEY,AUGUST,Lower Mainland,2019,1
49.116646,-122.801013,152 ST & 62 AVE & 62A AVE,SURREY,APRIL,Lower Mainland,2020,1
49.119042,-122.845493,64 AVE & KING GEORGE BLVD & TURNING LANE,SURREY,MARCH,Lower Mainland,2018,1
49.137554,-123.114189,MORTFIELD RD & NO 4 RD & WILKINSON RD,RICHMOND,NOVEMBER,Lower Mainland,2020,1
49.139828,-122.302354,7TH AVE & HORNE ST,MISSION,JUNE,Lower Mainland,2017,1
49.1489,-125.893169,CAMPBELL ST & OLSEN RD,TOFINO,OCTOBER,Vancouver Island,2021,1
49.150255,-122.867964,128 ST & 82 AVE & TURNING LANE,SURREY,SEPTEMBER,Lower Mainland,2017,1
49.155611,-123.169835,BLUNDELL RD & RAILWAY AVE,RICHMOND,NOVEMBER,Lower Mainland,2018,1
49.160894,-123.13098,BENNETT RD & ST ALBANS RD,RICHMOND,NOVEMBER,Lower Mainland,2019,1
49.161021,-123.140244,BENNETT RD & MINORU BLVD,RICHMOND,DECEMBER,Lower Mainland,2019,1
49.163272,-122.879055,124 ST & 88 AVE & INDUSTRIAL ACCESS ROAD & TURNING LANE,SURREY,MAY,Lower Mainland,2021,1
49.163272,-122.879055,124 ST & 88 AVE & INDUSTRIAL ACCESS ROAD & TURNING LANE,SURREY,SEPTEMBER,Lower Mainland,2021,1
49.170211,-123.14943,WESTMINSTER HWY,RICHMOND,JUNE,Lower Mainland,2018,1
49.177122,-123.102929,ALDERBRIDGE WAY & HWY 91 & SHELL RD & TURNING LANE,RICHMOND,NOVEMBER,Lower Mainland,2019,1
49.177138,-122.896508,117B ST & 96 AVE,SURREY,OCTOBER,Lower Mainland,2019,1
49.186141,-122.80646,101 AVE & 150 ST,SURREY,OCTOBER,Lower Mainland,2021,1
49.188865,-123.132513,CAPSTAN WAY & NO 3 RD,RICHMOND,MAY,Lower Mainland,2017,1
49.193089,-122.845429,105 AVE & KING GEORGE BLVD,SURREY,JULY,Lower Mainland,2018,2
49.208534,-123.140534,GRANVILLE ST & W 70TH AVE,VANCOUVER,JULY,Lower Mainland,2017,1
49.21235,-122.92186,SEVENTH ST & SIXTH AVE,NEW WESTMINSTER,JULY,Lower Mainland,2017,1
49.213429,-122.937862,10TH AVE & KINGSWAY & TENTH AVE & TWELFTH ST,BURNABY,JUNE,Lower Mainland,2019,2
49.215002,-123.116942,CAMBIE ST & W 61ST AVE,VANCOUVER,JULY,Lower Mainland,2018,1
49.21684,-122.64792,118 AVE & 207 ST & CAMWOOD AVE,MAPLE RIDGE,SEPTEMBER,Lower Mainland,2021,1
49.227129,-123.152329,MAPLE ST & W 49TH AVE,VANCOUVER,JUNE,Lower Mainland,2018,1
49.227762,-122.608875,124 AVE & GRAY ST,MAPLE RIDGE,AUGUST,Lower Mainland,2020,1
49.229406,-123.059077,E 45TH AVE & NANAIMO ST,VANCOUVER,SEPTEMBER,Lower Mainland,2017,1
49.237514,-123.123758,W 37TH AVE & WILLOW ST,VANCOUVER,OCTOBER,Lower Mainland,2019,1
49.238564,-123.178659,BLENHEIM ST & W 37TH AVE,VANCOUVER,AUGUST,Lower Mainland,2021,1
49.240186,-123.07382,DUMFRIES ST & E 33RD AVE,VANCOUVER,JUNE,Lower Mainland,2018,1
49.246059,-123.105144,E 28TH AVE & ONTARIO ST & W 28TH AVE,VANCOUVER,JANUARY,Lower Mainland,2019,1
49.255789,-123.245294,MAIN MALL & STADIUM RD & ACCESS ROAD,UBC,OCTOBER,Lower Mainland,2019,1
49.258397,-123.101131,E 14TH AVE & MAIN ST,VANCOUVER,AUGUST,Lower Mainland,2020,1
49.258687,-123.069859,COMMERCIAL DR & E 13TH AVE,VANCOUVER,APRIL,Lower Mainland,2020,1
49.261397,-123.069814,COMMERCIAL DR & E 10TH AVE,VANCOUVER,JUNE,Lower Mainland,2018,1
49.261543,-123.023613,BOUNDARY RD & MYRTLE ST,BURNABY,SEPTEMBER,Lower Mainland,2019,1
49.26201,-123.100996,E 10TH AVE & MAIN ST,VANCOUVER,AUGUST,Lower Mainland,2021,1
49.263732,-123.102931,E 8TH AVE & QUEBEC ST,VANCOUVER,FEBRUARY,Lower Mainland,2020,1
49.264216,-123.119826,HEATHER ST & W 8TH AVE,VANCOUVER,APRIL,Lower Mainland,2017,1
49.26497,-123.073522,E 6TH AVE & GRANDVIEW HWY N & WOODLAND DR,VANCOUVER,MARCH,Lower Mainland,2020,1
49.265079,-123.06974,COMMERCIAL DR & E 6TH AVE,VANCOUVER,FEBRUARY,Lower Mainland,2019,1
49.26524,-123.081306,E 6TH AVE & GLEN DR & GREAT NORTHERN WAY,VANCOUVER,SEPTEMBER,Lower Mainland,2019,1
49.265912,-123.120548,MOBERLY RD & W 6TH AVE,VANCOUVER,JUNE,Lower Mainland,2021,1
49.266065,-123.014346,GILMORE AVE & LOUGHEED HWY & TURNING LANE,BURNABY,NOVEMBER,Lower Mainland,2018,1
49.266529,-123.106688,MANITOBA ST & W 5TH AVE,VANCOUVER,AUGUST,Lower Mainland,2021,1
49.267587,-123.112702,W 2ND AVE & W 4TH AVE & WYLIE ST & YUKON ST,VANCOUVER,AUGUST,Lower Mainland,2017,1
49.268005,-123.14564,BURRARD ST & W 4TH AVE,VANCOUVER,JULY,Lower Mainland,2020,1
49.268669,-123.065784,E 2ND AVE & VICTORIA DR,VANCOUVER,JUNE,Lower Mainland,2021,1
49.269212,-123.102714,E 2ND AVE & QUEBEC ST,VANCOUVER,OCTOBER,Lower Mainland,2021,1
49.273951,-123.069559,COMMERCIAL DR & WILLIAM ST,VANCOUVER,SEPTEMBER,Lower Mainland,2018,1
49.276281,-123.131378,HORNBY ST & PACIFIC ST,VANCOUVER,OCTOBER,Lower Mainland,2018,1
49.276631,-123.05467,KAMLOOPS ST & VENABLES ST,VANCOUVER,MARCH,Lower Mainland,2017,1
49.277063,-123.114769,BEATTY ST,VANCOUVER,MAY,Lower Mainland,2017,1
49.277106,-123.106445,CARRALL ST & PACIFIC BLVD,VANCOUVER,NOVEMBER,Lower Mainland,2021,1
49.277339,-123.081372,GLEN DR & UNION ST,VANCOUVER,JUNE,Lower Mainland,2017,1
49.277438,-122.826956,BARNET HWY & BARNET SERVICE RD & IOCO RD & ST JOHNS ST & ACCESS ROAD & TURNING LANE,PORT MOODY,AUGUST,Lower Mainland,2019,1
49.277653,-123.075694,ADANAC ST,VANCOUVER,APRIL,Lower Mainland,2018,1
49.278601,-123.122011,NELSON ST & SEYMOUR ST,VANCOUVER,MAY,Lower Mainland,2019,2
49.278645,-123.107641,ABBOTT ST & EXPO BLVD & PAT QUINN WAY,VANCOUVER,MAY,Lower Mainland,2018,2
49.279077,-123.129182,BURRARD ST & DAVIE ST,VANCOUVER,NOVEMBER,Lower Mainland,2017,1
49.279839,-123.110537,BEATTY ST & DUNSMUIR ST & DUNSMUIR VIADUCT,VANCOUVER,APRIL,Lower Mainland,2018,1
49.280488,-123.111556,CAMBIE ST & DUNSMUIR ST,VANCOUVER,DECEMBER,Lower Mainland,2021,1
49.280492,-123.104378,CARRALL ST & E PENDER ST & W PENDER ST,VANCOUVER,MAY,Lower Mainland,2017,1
49.280536,-123.124983,HORNBY ST & NELSON ST,VANCOUVER,APRIL,Lower Mainland,2018,1
49.281065,-123.107583,ABBOTT ST & W PENDER ST,VANCOUVER,JANUARY,Lower Mainland,2020,1
49.281161,-123.038842,E HASTINGS ST & LILLOOET ST,VANCOUVER,OCTOBER,Lower Mainland,2020,1
49.282367,-123.114455,DUNSMUIR ST & RICHARDS ST,VANCOUVER,NOVEMBER,Lower Mainland,2018,1
49.283132,-123.119153,HOWE ST & W GEORGIA ST,VANCOUVER,OCTOBER,Lower Mainland,2017,1
49.283537,-123.109152,CAMBIE ST & W CORDOVA ST,VANCOUVER,AUGUST,Lower Mainland,2020,1
49.283929,-123.065539,TRIUMPH ST & VICTORIA DR,VANCOUVER,SEPTEMBER,Lower Mainland,2017,1
49.284897,-123.118345,DUNSMUIR ST & HORNBY ST,VANCOUVER,DECEMBER,Lower Mainland,2019,3
49.284897,-123.118345,DUNSMUIR ST & HORNBY ST,VANCOUVER,NOVEMBER,Lower Mainland,2020,1
49.289715,-123.125843,W HASTINGS ST,VANCOUVER,JULY,Lower Mainland,2018,1
49.292623,-123.133718,DENMAN ST & W GEORGIA ST,VANCOUVER,JULY,Lower Mainland,2021,1
49.314018,-123.080955,CHESTERFIELD AVE & W 2ND ST,NORTH VANCOUVER,NOVEMBER,Lower Mainland,2019,1
49.318065,-123.096934,DONAGHY AVE & W 1ST ST,NORTH VANCOUVER,FEBRUARY,Lower Mainland,2021,1
49.323112,-123.100131,HAMILTON AVE & MARINE DR & W 16TH ST & TURNING LANE,NORTH VANCOUVER,AUGUST,Lower Mainland,2020,1
49.323845,-123.107769,MARINE DR & PEMBERTON AVE,NORTH VANCOUVER,AUGUST,Lower Mainland,2019,1
49.323939,-123.118907,GARDEN AVE & MARINE DR,NORTH VANCOUVER,MARCH,Lower Mainland,2018,1
49.334601,-123.168003,21ST ST & INGLEWOOD AVE,WEST VANCOUVER,SEPTEMBER,Lower Mainland,2019,1
